Region,Ministry,Office Count,Employee Count,Services Count,Programs Count,Budget (Million),Contact Phone,Website
Kota Serang,Kementerian Dalam Negeri,5,200,3,2,1940,+62-254-9925,https://dalam_negeri.kotaserang.go.id
Kota Serang,Kementerian Hukum dan HAM,4,150,3,2,746,+62-254-6731,https://hukum_dan_ham.kotaserang.go.id
Kota Serang,Kementerian Keuangan,4,180,3,2,2311,+62-254-5013,https://keuangan.kotaserang.go.id
Kota Serang,Kementerian Pendidikan dan Kebudayaan,6,250,3,2,1311,+62-254-8201,https://pendidikan_dan_kebudayaan.kotaserang.go.id
Kota Serang,Kementerian Kesehatan,5,220,3,2,1885,+62-254-7289,https://kesehatan.kotaserang.go.id
Kota Serang,Kementerian Sosial,4,160,3,2,1897,+62-254-0701,https://sosial.kotaserang.go.id
Kota Serang,Kementerian Perhubungan,4,170,3,2,2492,+62-254-0054,https://perhubungan.kotaserang.go.id
Kota Serang,Kementerian Pekerjaan Umum dan Perumahan Rakyat,5,200,3,2,2487,+62-254-6454,https://pekerjaan_umum_dan_perumahan_rakyat.kotaserang.go.id
Kota Serang,Kementerian Pertanian,4,140,3,2,968,+62-254-0300,https://pertanian.kotaserang.go.id
Kota Serang,Kementerian Perindustrian,3,100,3,2,1967,+62-254-5935,https://perindustrian.kotaserang.go.id
Kota Serang,Kementerian Perdagangan,3,90,3,2,844,+62-254-3753,https://perdagangan.kotaserang.go.id
Kota Serang,Kementerian Lingkungan Hidup dan Kehutanan,4,120,3,2,1526,+62-254-4179,https://lingkungan_hidup_dan_kehutanan.kotaserang.go.id
Kota Serang,Kementerian Kelautan dan Perikanan,3,80,3,2,1593,+62-254-7706,https://kelautan_dan_perikanan.kotaserang.go.id
Kota Serang,Kementerian Tenaga Kerja dan Transmigrasi,4,130,3,2,673,+62-254-3104,https://tenaga_kerja_dan_transmigrasi.kotaserang.go.id
Kota Serang,Kementerian Pariwisata dan Ekonomi Kreatif,3,70,3,2,1300,+62-254-6318,https://pariwisata_dan_ekonomi_kreatif.kotaserang.go.id
Kota Serang,Kementerian Komunikasi dan Informatika,4,100,3,2,1086,+62-254-0262,https://komunikasi_dan_informatika.kotaserang.go.id
Kota Serang,Kementerian Koperasi dan UKM,3,60,3,2,1769,+62-254-0766,https://koperasi_dan_ukm.kotaserang.go.id
Kota Serang,Kementerian Pemberdayaan Perempuan dan Perlindungan Anak,3,80,3,2,2463,+62-254-1236,https://pemberdayaan_perempuan_dan_perlindungan_anak.kotaserang.go.id
Kota Serang,Kementerian Pemuda dan Olahraga,3,70,3,2,1887,+62-254-7323,https://pemuda_dan_olahraga.kotaserang.go.id
Kota Serang,Kementerian Agama,4,90,3,2,515,+62-254-7786,https://agama.kotaserang.go.id
Kota Serang,Kementerian Luar Negeri,2,50,3,2,1698,+62-254-0307,https://luar_negeri.kotaserang.go.id
Kota Serang,Kementerian Pertahanan,3,80,3,2,2382,+62-254-3701,https://pertahanan.kotaserang.go.id
Kota Serang,Kementerian BUMN,2,40,3,2,1825,+62-254-8648,https://bumn.kotaserang.go.id
Kota Serang,Kementerian Investasi,2,30,3,2,1602,+62-254-6659,https://investasi.kotaserang.go.id
Kota Serang,Kementerian Pendidikan,3,100,3,2,573,+62-254-2737,https://pendidikan.kotaserang.go.id
Kota Serang,Kementerian Pekerjaan Umum,3,100,3,2,1063,+62-254-5154,https://pekerjaan_umum.kotaserang.go.id
Kota Serang,Kementerian Lingkungan Hidup,3,100,3,2,1351,+62-254-5226,https://lingkungan_hidup.kotaserang.go.id
Kota Serang,Kementerian Tenaga Kerja,3,100,3,2,1239,+62-254-1344,https://tenaga_kerja.kotaserang.go.id
Kota Serang,Kementerian Pariwisata,3,100,3,2,1768,+62-254-9255,https://pariwisata.kotaserang.go.id
Kota Serang,Kementerian Koperasi,3,100,3,2,2054,+62-254-5807,https://koperasi.kotaserang.go.id
Kota Serang,Kementerian Pemberdayaan Perempuan,3,100,3,2,2345,+62-254-1247,https://pemberdayaan_perempuan.kotaserang.go.id
Kota Serang,Kementerian Badan Usaha Milik Negara,3,100,3,2,526,+62-254-8740,https://badan_usaha_milik_negara.kotaserang.go.id
Kota Serang,Kementerian Pemberdayaan Aparatur Sipil Negara,3,100,3,2,2385,+62-254-5659,https://pemberdayaan_aparatur_sipil_negara.kotaserang.go.id
Kota Serang,Kementerian Pendapatan Negara,3,100,3,2,2124,+62-254-9317,https://pendapatan_negara.kotaserang.go.id
Kota Serang,Kementerian Perencanaan Pembangunan Nasional,3,100,3,2,872,+62-254-1887,https://perencanaan_pembangunan_nasional.kotaserang.go.id
Kota Serang,Kementerian Badan Intelijen Negara,3,100,3,2,1486,+62-254-7209,https://badan_intelijen_negara.kotaserang.go.id
Kota Serang,Kementerian Badan Pengawas Keuangan,3,100,3,2,737,+62-254-6629,https://badan_pengawas_keuangan.kotaserang.go.id
Kota Serang,Kementerian Badan Pemeriksa Keuangan,3,100,3,2,1707,+62-254-3562,https://badan_pemeriksa_keuangan.kotaserang.go.id
Kota Serang,Kementerian Badan Meteorologi Klimatologi dan Geofisika,3,100,3,2,590,+62-254-2357,https://badan_meteorologi_klimatologi_dan_geofisika.kotaserang.go.id
Kota Serang,Kementerian Badan Narkotika Nasional,3,100,3,2,2298,+62-254-0245,https://badan_narkotika_nasional.kotaserang.go.id
Kota Serang,Kementerian Badan Pengawas Obat dan Makanan,3,100,3,2,1175,+62-254-9414,https://badan_pengawas_obat_dan_makanan.kotaserang.go.id
Kota Serang,Kementerian Badan Kependudukan dan Keluarga Berencana,3,100,3,2,1496,+62-254-3229,https://badan_kependudukan_dan_keluarga_berencana.kotaserang.go.id
Kota Serang,Kementerian Badan Penanggulangan Bencana,3,100,3,2,1603,+62-254-7531,https://badan_penanggulangan_bencana.kotaserang.go.id
Kota Serang,Kementerian Badan Penelitian dan Pengembangan,3,100,3,2,2149,+62-254-3820,https://badan_penelitian_dan_pengembangan.kotaserang.go.id
Kota Serang,Kementerian Badan Informasi Geospasial,3,100,3,2,1003,+62-254-9188,https://badan_informasi_geospasial.kotaserang.go.id
Kota Serang,Kementerian Badan Standardisasi Nasional,3,100,3,2,1598,+62-254-0630,https://badan_standardisasi_nasional.kotaserang.go.id
Kota Serang,Kementerian Badan Pengawas Tenaga Nuklir,3,100,3,2,1625,+62-254-2747,https://badan_pengawas_tenaga_nuklir.kotaserang.go.id
Kabupaten Serang,Kementerian Dalam Negeri,5,200,3,2,1940,+62-254-9925,https://dalam_negeri.kabupatenserang.go.id
Kabupaten Serang,Kementerian Hukum dan HAM,4,150,3,2,746,+62-254-6731,https://hukum_dan_ham.kabupatenserang.go.id
Kabupaten Serang,Kementerian Keuangan,4,180,3,2,2311,+62-254-5013,https://keuangan.kabupatenserang.go.id
